Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,UF,Regiao
2010,101,51,125,431,632,1783,2970,8299,11611,2635,365,97,29100,Tocantins,Norte
2011,25,13,36,120,379,788,1006,1582,4609,1741,203,135,10637,Tocantins,Norte
2012,14,51,83,243,487,940,1655,4269,7015,3874,243,170,19044,Tocantins,Norte
2013,59,37,63,162,411,895,1398,1805,2512,2194,320,79,9935,Tocantins,Norte
2014,90,55,41,172,585,1343,1364,2790,3339,3673,423,200,14075,Tocantins,Norte
2015,196,48,66,65,487,1118,1198,2451,4470,4518,770,318,15705,Tocantins,Norte
2016,30,318,132,340,725,1100,2607,3213,3073,2255,586,115,14494,Tocantins,Norte
2017,57,24,79,161,626,906,1823,2540,6625,2255,496,81,15673,Tocantins,Norte
2018,97,16,64,127,599,914,1321,1361,1796,1371,201,166,8033,Tocantins,Norte
2019,84,78,82,209,690,1406,1598,2916,4505,1462,376,219,13625,Tocantins,Norte
2020,75,77,111,221,446,1188,1361,1714,3977,2192,520,211,12093,Tocantins,Norte
